horizon,fold,model,MAE,RMSE,R2,MedAE
5,1,Rolling7,23.06766678973373,31.368987771594277,-0.22775113833743843,16.122670295831472
5,1,LastValidAQI,28.535211267605632,40.39578837341659,-1.0360175271092187,18.999999999999996
5,1,MonthlyMedian,33.15915492957747,39.945640880477974,-0.9908939287654133,29.49999999999998
5,2,Ridge | AR + Weather,29.653525091581226,46.14850666856628,0.0017124383836536472,19.066599795131538
5,2,Naive,35.02253521126761,51.45196036451976,-0.24092121242977194,23.999999999999986
5,2,Rolling7,32.54842233730381,49.84571990291966,-0.1646517970525465,18.871905931183747
5,2,LastValidAQI,34.8112676056338,51.35976394136441,-0.23647800006297826,23.00000000000001
5,2,MonthlyMedian,28.83661971830986,42.64321355118339,0.14760634907792647,20.50000000000002
5,3,Ridge | AR + Weather,27.214378982171464,40.337040354103884,0.03478699341813052,18.561933929329275
5,3,Naive,36.177464788732394,53.44326990923693,-0.6943422918819915,23.99999999999997
5,3,Rolling7,28.678100158333205,42.71546735758659,-0.08239413708490506,17.385097833278486
5,3,LastValidAQI,36.267605633802816,53.508377651291575,-0.6984731018820725,23.999999999999993
5,3,MonthlyMedian,26.74507042253521,38.71252845210359,0.11096638665628056,19.0
5,4,Ridge | AR + Weather,17.31192472069792,24.13314281037016,0.14987021119862443,12.796038815942964
5,4,Naive,22.12112676056338,32.672295193932065,-0.5581768834647358,14.0
5,4,Rolling7,18.9490626919542,26.31149680149615,-0.0105285271375537,13.176779195789841
5,4,LastValidAQI,24.507042253521128,35.556263686219104,-0.8453965529259173,16.0
5,4,MonthlyMedian,18.535211267605632,25.430463045415145,0.05601301956390803,13.999999999999993
5,5,Ridge | AR + Weather,18.73258422745006,25.372900123179942,0.21768375784329708,14.225778257759288
5,5,Naive,23.064788732394366,33.46951524453596,-0.3612596507709478,15.0
5,5,Rolling7,20.699401683769302,29.23855713465118,-0.0388527687738458,13.734813087546165
5,5,LastValidAQI,22.780281690140846,33.132384906273565,-0.3339744858461722,14.999999999999993
5,5,MonthlyMedian,20.563380281690144,28.813435833080412,-0.008863068325106749,15.0
7,1,Ridge | AR + Weather,21.732129475848463,29.449240971664764,-0.17804745102372865,15.930280097265175
7,1,Naive,29.161016949152543,39.83053792522051,-1.154998221080378,21.000000000000004
