fold,model,feature_set,MAE,RMSE,R2,MedAE
5,RandomForest,AR + Weather,14.740053668524512,20.78371501163667,0.47508560296247593,10.108764099687477
5,HistGradientBoosting,AR + Weather,14.909197904192032,20.904480926434434,0.46896774198267765,10.511469945475561
5,Ridge,Weather only,15.485671680246236,20.463552038719218,0.49113314084715143,12.144559182154985
5,WeightedRidge,Weather only,19.04172717396919,25.891276543321773,0.18539128135549565,14.514121200613353
5,RandomForest,Weather only,15.893746540317363,21.40931020487094,0.44300989908138644,12.356780227993944
5,HistGradientBoosting,Weather only,15.925200664738533,21.960666628015435,0.4139520304750428,11.812619849274853
5,Ridge,AR + Calendar,17.095331734694454,24.084487504752573,0.2951171472543276,11.88454590024373
5,WeightedRidge,AR + Calendar,21.561131405173562,27.475355842603328,0.08266327874117074,17.94102620179477
5,RandomForest,AR + Calendar,17.587068252061353,25.272668313814133,0.2238523938893151,11.656398119419997
5,HistGradientBoosting,AR + Calendar,18.127228837539388,25.904813398000734,0.18453924746391037,11.95686639777771
5,Ridge,AR only,16.91599338334808,24.906597137727694,0.24617433516488163,11.264170201100377
5,WeightedRidge,AR only,19.451650715680515,25.643787169141948,0.2008902036864113,15.091143882829115
5,RandomForest,AR only,17.32284908650112,25.566812043468254,0.20568038984255954,11.228479371117622
5,HistGradientBoosting,AR only,17.65833691134927,25.953136557328943,0.18149406870514306,11.678597897799825
